# BEEF ########################################################################################################################
# BEEF This line shows the Bayesian error estimations and the current threshold criterion.
# BEEF 
# BEEF nstep ............ MD time step or input structure counter
# BEEF bee_energy ....... BEE of energy per atom (eV atom^-1)
# BEEF bee_max_force .... BEE of forces (max) (eV Angst^-1)
# BEEF bee_ave_force .... BEE of forces (average) (kB)
# BEEF threshold ........ Current value of threshold criterion (eV Angst^-1)
# BEEF bee_max_stress ... BEE of stresses (max) (kB)
# BEEF bee_ave_stress ... BEE of stresses (average) (kB)
# BEEF ########################################################################################################################
# BEEF              nstep       bee_energy    bee_max_force    bee_ave_force        threshold   bee_max_stress   bee_ave_stress
# BEEF                  2                3                4                5                6                7                8
# BEEF ########################################################################################################################
BEEF                    1   1.00000000E-06   3.46410162E-02   2.00000000E-02   2.00000000E-03   0.00000000E+00   0.00000000E+00
BEEF                    2   1.85506066E-06   1.39794828E-02   6.04853302E-03   2.00000000E-03   4.55874318E-01   3.43459004E-01
BEEF                    3   2.23030119E-06   4.10692210E-03   2.06374269E-03   2.00000000E-03   7.69789990E-02   5.52722886E-02
BEEF                    4   4.13224251E-06   6.07609523E-03   3.02761294E-03   2.00000000E-03   1.05894869E-01   8.43793668E-02
BEEF                    5   6.48485188E-06   8.33364095E-03   4.08273901E-03   2.00000000E-03   1.60830033E-01   1.19318628E-01
BEEF                    6   8.33575394E-06   9.94997115E-03   4.90012989E-03   2.00000000E-03   2.08896526E-01   1.47458307E-01
BEEF                    7   9.14671439E-06   1.01211302E-02   5.07603771E-03   2.00000000E-03   2.29765343E-01   1.57462992E-01
BEEF                    8   1.00313676E-05   1.04639093E-02   5.28533559E-03   2.00000000E-03   2.45100166E-01   1.68510878E-01
BEEF                    9   1.15736492E-05   1.14297094E-02   5.77269638E-03   2.00000000E-03   2.71083279E-01   1.91101348E-01
BEEF                   10   1.23523216E-05   1.17447270E-02   5.98015437E-03   2.00000000E-03   2.92121132E-01   2.04723760E-01
BEEF                   11   1.67751732E-05   1.47282717E-02   7.54780841E-03   1.00933860E-02   3.85464126E-01   2.73050409E-01
BEEF                   12   1.75367437E-05   1.56282162E-02   7.93164407E-03   1.00933860E-02   4.78500387E-01   3.40206534E-01
BEEF                   13   1.85732837E-05   1.66295555E-02   8.24700761E-03   1.00933860E-02   6.04465041E-01   4.24142911E-01
BEEF                   14   1.97054906E-05   1.69792772E-02   8.33722281E-03   1.00933860E-02   7.01575375E-01   4.81336603E-01
BEEF                   15   2.08259712E-05   1.70006021E-02   8.34749143E-03   1.00933860E-02   7.78284941E-01   5.28197211E-01
BEEF                   16   2.18567164E-05   1.65680726E-02   8.25107980E-03   1.00933860E-02   8.28327053E-01   5.52222784E-01
BEEF                   17   2.27814671E-05   1.66998851E-02   8.24266253E-03   1.00933860E-02   8.71524276E-01   5.78084929E-01
BEEF                   18   2.39708870E-05   1.69673510E-02   8.21580667E-03   1.00933860E-02   9.09500166E-01   6.06494580E-01
BEEF                   19   2.54261475E-05   1.77342028E-02   8.28552889E-03   1.00933860E-02   9.67130209E-01   6.53724615E-01
BEEF                   20   2.71352888E-05   1.83751038E-02   8.44377781E-03   1.00933860E-02   1.04048697E+00   7.13256438E-01
BEEF                   21   2.47607834E-05   1.26830519E-02   6.35124729E-03   9.96374290E-03   6.11173794E-01   4.33512710E-01
BEEF                   22   2.58978679E-05   1.32830378E-02   6.58559707E-03   9.96374290E-03   6.67267665E-01   4.70054180E-01
BEEF                   23   2.70526646E-05   1.40138510E-02   6.91145210E-03   9.96374290E-03   7.32653270E-01   5.08074313E-01
BEEF                   24   2.84203553E-05   1.50246753E-02   7.38692826E-03   9.96374290E-03   8.19504153E-01   5.59971258E-01
BEEF                   25   2.99646893E-05   1.63968152E-02   7.95944461E-03   9.96374290E-03   9.03367884E-01   6.12969693E-01
BEEF                   26   3.16305385E-05   1.83181702E-02   8.57361315E-03   9.96374290E-03   9.83178272E-01   6.64486621E-01
BEEF                   27   2.20624452E-05   1.44809873E-02   6.99439573E-03   1.10011494E-02   6.12323890E-01   3.98021795E-01
BEEF                   28   2.28094702E-05   1.54930190E-02   7.44230505E-03   1.10011494E-02   6.42255942E-01   4.19452781E-01
BEEF                   29   2.35770278E-05   1.62906276E-02   7.82633971E-03   1.10011494E-02   6.66068232E-01   4.37511320E-01
BEEF                   30   2.44190019E-05   1.69372378E-02   8.15486027E-03   1.10011494E-02   6.85909092E-01   4.54124547E-01
BEEF                   31   2.50938559E-05   1.73164704E-02   8.36954888E-03   1.10011494E-02   6.90681073E-01   4.64628738E-01
BEEF                   32   2.56485606E-05   1.73737990E-02   8.44835384E-03   1.10011494E-02   6.89340872E-01   4.72811187E-01
BEEF                   33   2.62316799E-05   1.72582881E-02   8.44452062E-03   1.10011494E-02   6.97133797E-01   4.84732957E-01
BEEF                   34   2.67917034E-05   1.73371953E-02   8.33573322E-03   1.10011494E-02   7.07172169E-01   4.98639095E-01
BEEF                   35   2.72447400E-05   1.76421458E-02   8.15069711E-03   1.10011494E-02   7.13159466E-01   5.04703034E-01
BEEF                   36   2.76037358E-05   1.78907292E-02   7.87669837E-03   1.10011494E-02   7.18045929E-01   5.05850256E-01
BEEF                   37   2.78922357E-05   1.82060007E-02   7.60623573E-03   1.10011494E-02   7.23006328E-01   5.03131441E-01
BEEF                   38   2.81948541E-05   1.86096508E-02   7.43036580E-03   1.10011494E-02   7.48710648E-01   5.03245631E-01
BEEF                   39   2.84226396E-05   1.89253544E-02   7.33341508E-03   1.10011494E-02   7.63295242E-01   5.01562551E-01
BEEF                   40   2.86421970E-05   1.91641922E-02   7.32345126E-03   1.10011494E-02   7.75641785E-01   4.98642533E-01
BEEF                   41   2.88993366E-05   1.91896356E-02   7.34550881E-03   1.10011494E-02   7.90519255E-01   5.00720528E-01
BEEF                   42   2.89997876E-05   1.88979896E-02   7.33258747E-03   1.10011494E-02   7.82619050E-01   4.90209716E-01
