# ERR ######################################################################
# ERR This line contains the RMSEs of the predictions with respect to ab initio results for the training data.
# ERR 
# ERR nstep ......... MD time step or input structure counter
# ERR rmse_energy ... RMSE of energies (eV atom^-1)
# ERR rmse_force .... RMSE of forces (eV Angst^-1)
# ERR rmse_stress ... RMSE of stress (kB)
# ERR ######################################################################
# ERR               nstep      rmse_energy       rmse_force      rmse_stress
# ERR                   2                3                4                5
# ERR ######################################################################
ERR                     2   6.67326020E-05   4.05767780E-02   1.31154846E+00
ERR                     3   2.65023754E-05   6.55792430E-03   2.40753139E-01
ERR                     4   6.59788066E-05   9.21973448E-03   2.94769713E-01
ERR                     5   1.24139842E-04   1.21117053E-02   3.75364659E-01
ERR                     6   1.65849319E-04   1.45138891E-02   3.91023905E-01
ERR                     7   1.38562202E-04   1.54257438E-02   3.48296161E-01
ERR                     8   9.95602544E-05   1.70735747E-02   3.53569363E-01
ERR                     9   9.76849253E-05   1.98753513E-02   3.92402280E-01
ERR                    10   1.16969305E-04   2.21012058E-02   4.34934273E-01
ERR                    11   3.51119828E-04   3.07347761E-02   6.54350220E-01
ERR                    21   5.32261813E-04   3.17408045E-02   1.04881395E+00
ERR                    27   3.93821581E-04   2.84606756E-02   8.96769774E-01
ERR                    77   2.48736578E-04   2.36943835E-02   9.79548330E-01
ERR                   181   2.16670386E-04   2.21554093E-02   6.29941523E-01
ERR                   498   1.96052755E-04   1.91472704E-02   6.29585207E-01
ERR                  1489   2.80900014E-04   2.18674976E-02   7.12528776E-01
ERR                  1802   2.95869444E-04   2.12402414E-02   7.20218897E-01
ERR                  1956   2.80976616E-04   2.14949256E-02   7.10629536E-01
ERR                  2130   2.53370423E-04   2.11090697E-02   7.02207553E-01
ERR                  2287   3.45287978E-04   2.16748654E-02   7.31990182E-01
ERR                  2545   3.61097163E-04   2.21268627E-02   7.53326420E-01
ERR                  7355   3.55800848E-04   2.24998927E-02   7.49144176E-01
ERR                  8784   3.67024110E-04   2.35427171E-02   8.31944943E-01
ERR                 10000   4.58642662E-04   2.57330919E-02   8.70722900E-01
